,PSJudge,avgEVC,avgSD,elle,files,groupId,il,ils,je,keywords,le,nous,perNeg,perNegDoc,perPos,perPosDoc,pronounFrac,timeRun,vous,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,ensemble2pred
69,0.545454545455,0.620852158787,0.702415000345,0.000562746201463,1,TrumpRemarks_test2,0.00253235790658,0.0112549240293,0.0104108047271,"will, must, obama, radic, job, dollar, isi, spend, friend, again, look, polici, prosper, get, disast",0.0101294316263,0.0562746201463,0.0227912211593,0.0,0.0292628024761,1.0,0.827272727273,5.33779096603,0.00337647720878,TrumpRemarks,7,5.06,6,3.24222605627,1,1
68,0.5625,0.662464049827,0.792440281355,0.0,1,TrumpStatements_test0,0.0,0.0194902548726,0.00899550224888,"veteran, marin, dedic, abl, honor, humbl, sacrific, digniti, courag, birthday, strength, should, away, love, defend",0.00299850074963,0.0389805097451,0.0149925037481,0.0,0.0464767616192,1.0,0.78125,1.98857998848,0.0,TrumpStatements,1,2.68666666667,1,4.68867761871,7,8
70,0.311688311688,0.696289286399,0.696342322233,0.000711743772242,1,TrumpRemarks_test1,0.00797153024911,0.0281850533808,0.0444128113879,"applaus, get, know, got, want, job, say, happen, realli, audienc, nice, tell, send, ford, nobodi",0.0227758007117,0.0351601423488,0.0148042704626,0.0,0.042846975089,1.0,0.845598845599,9.4807510376,0.0153736654804,TrumpRemarks,7,2.83,2,3.66130172858,1,2
71,0.575163398693,0.537965317915,0.6711133057,0.00041067761807,1,TrumpRemarks_test0,0.00246406570842,0.00944558521561,0.029158110883,"israel, happen, terror, palestinian, thank, deal, iran, let, will, realli, dollar, know, someth, missil, get",0.0242299794661,0.0164271047228,0.0266940451745,1.0,0.0258726899384,0.0,0.823529411765,3.95637083054,0.0156057494867,TrumpRemarks,7,3.90666666667,7,3.21220435543,1,1
67,0.833333333333,0.441838782492,0.485264964466,0.042471042471,1,TrumpStatements_test1,0.0,0.00772200772201,0.034749034749,"hillari, clinton, illeg, obvious, statement, jeb, desper, tri, tone, send, want, immigr, know, spend, download",0.011583011583,0.00772200772201,0.046332046332,1.0,0.034749034749,0.0,0.916666666667,1.38141202927,0.0,TrumpStatements,1,5.19,7,4.484853734,7,7
66,0.214285714286,0.413240906624,0.0263621488188,0.0,1,TrumpStatements_test2,0.0,0.0150943396226,0.00377358490566,"obama, negoti, iran, agreement, nuclear, incompet, get, danger, statement, uranium, lengthi, pay, closer, inspect, dollar",0.00377358490566,0.022641509434,0.022641509434,0.0,0.0339622641509,1.0,0.428571428571,1.06603693962,0.0,TrumpStatements,1,3.18333333333,2,4.48485368923,7,8
